Date, Open, High, Low, Close
01/06/21,12601.26,12803.29,12569.42,12623.35
01/05/21,12663.13,12809.67,12663.13,12802.38
01/04/21,12950.22,12950.22,12537.42,12694.66
12/31/20,12852.96,12904.09,12804.75,12888.28
12/30/20,12900.03,12917.45,12828.78,12845.36
12/29/20,12909.86,12925.53,12816.59,12843.49
12/28/20,12813.97,12861.91,12747.05,12838.86
12/24/20,12668.19,12732.55,12665.80,12711.01
12/23/20,12733.75,12737.59,12649.60,12653.14
12/22/20,12715.48,12761.23,12606.42,12717.56
12/21/20,12575.60,12706.44,12474.03,12690.26
12/18/20,12786.92,12793.47,12611.22,12738.18
12/17/20,12741.64,12760.97,12685.98,12752.06
12/16/20,12607.87,12698.11,12568.71,12668.16
12/15/20,12565.28,12596.84,12467.57,12595.92
12/14/20,12427.86,12544.31,12426.25,12462.21
12/11/20,12327.07,12378.60,12236.81,12375.41
12/10/20,12268.47,12447.85,12226.13,12401.74
12/09/20,12626.97,12643.24,12311.30,12364.64
12/08/20,12574.84,12651.35,12504.97,12635.72
12/07/20,12523.57,12610.00,12523.12,12596.47
12/04/20,12479.91,12531.22,12450.51,12528.48
12/03/20,12469.16,12538.92,12445.36,12467.13
12/02/20,12390.58,12472.25,12318.27,12456.41
12/01/20,12387.62,12510.02,12338.36,12455.33
11/30/20,12278.78,12299.61,12090.93,12268.32
11/27/20,12220.37,12306.71,12214.44,12258.21
11/25/20,12112.11,12174.99,12081.51,12152.22
11/24/20,11952.70,12094.16,11878.31,12079.81
11/23/20,11959.89,12001.83,11817.53,11905.94
11/20/20,11976.00,12017.42,11903.57,11906.44
11/19/20,11863.12,12000.29,11842.66,11985.43
11/18/20,11963.36,12027.15,11892.54,11894.71
11/17/20,12030.27,12047.13,11964.20,11977.49
11/16/20,11925.36,12035.50,11891.85,12013.38
11/13/20,11910.62,11957.09,11808.94,11937.84
11/12/20,11924.15,11976.89,11786.09,11827.14
11/11/20,11734.82,11904.13,11714.32,11892.93
11/10/20,11704.46,11761.95,11512.47,11624.29
11/09/20,12194.71,12268.66,11818.25,11830.39
11/06/20,12044.29,12116.91,11895.50,12091.35
11/05/20,12021.77,12117.04,11977.07,12078.07
11/04/20,11627.76,11846.46,11564.91,11777.02
11/03/20,11155.84,11356.08,11115.55,11279.91
11/02/20,11152.48,11222.52,10957.11,11084.76
10/30/20,11265.70,11293.76,10960.02,11052.95
10/29/20,11214.33,11467.38,11187.07,11350.74
10/28/20,11400.48,11426.10,11136.10,11142.76
10/27/20,11560.86,11633.49,11503.10,11598.95
10/26/20,11584.17,11708.08,11360.73,11504.52
10/23/20,11680.73,11693.01,11569.09,11692.57
10/22/20,11712.64,11739.22,11529.73,11662.91
10/21/20,11686.19,11789.46,11646.48,11665.37
10/20/20,11679.08,11801.40,11613.76,11677.84
10/19/20,11913.01,11962.47,11606.48,11634.35
10/16/20,11952.12,12034.13,11824.14,11852.17
10/15/20,11767.27,11928.63,11765.48,11898.57
10/14/20,12105.10,12159.21,11913.57,11985.36
10/13/20,12131.07,12187.78,12032.75,12083.17
10/12/20,11900.12,12204.75,11880.23,12088.11
10/09/20,11615.57,11727.60,11600.86,11725.85
10/08/20,11576.44,11582.78,11510.24,11550.94
10/07/20,11412.65,11519.55,11382.48,11503.19
10/06/20,11476.67,11536.42,11256.26,11291.27
10/05/20,11345.24,11512.06,11336.07,11509.06
10/02/20,11328.85,11479.08,11225.17,11255.69
10/01/20,11554.96,11606.73,11488.59,11583.20
09/30/20,11328.55,11535.02,11328.55,11418.06
09/29/20,11354.70,11396.22,11305.79,11322.95
09/28/20,11332.32,11369.40,11243.24,11364.45
09/25/20,10910.50,11177.73,10851.68,11151.13
09/24/20,10746.35,11026.43,10728.41,10896.47
09/23/20,11167.22,11179.59,10806.05,10833.33
09/22/20,11082.09,11207.08,10943.26,11186.37
09/21/20,10768.01,10984.76,10677.85,10980.22
09/18/20,11147.80,11153.97,10769.40,10936.98
09/17/20,10965.74,11160.04,10936.80,11080.95
